key,fr_FR,nl_NL,it_IT,de_DE,nl_BE,es_ES,pt_ES
account > account.passwordchangedemail.message1,Vous venez de créer un nouveau mot de passe pour votre compte.,Je wachtwoord is succesvol aangepast,Vous venez de créer un nouveau mot de passe pour votre compte.,Sie haben gerade ein neues Passwort für Ihr Konto erstellt. ,Uw wachtwoord is succesvol aangepast,Acabas de crear una nueva contraseña para tu cuenta.,Acabou de criar uma nova palavra-passe para a sua conta.
account > account.passwordchangedemail.message2,Vous pouvez accéder à votre compte à ,Log direct in,Vous pouvez accéder à votre compte à ,Sie können sich hier bei Ihrem Konto anmelden ,Log direct in,Puedes acceder a tu cuenta en ,Pode aceder à sua conta em 
account > account.passwordchangedemail.message3,"Cet e-mail est généré automatiquement, merci de ne pas y répondre.",Dit is een automatisch gegenereerd bericht. Gelieve niet op deze e-mail te reageren.,"Cet e-mail est généré automatiquement, merci de ne pas y répondre.","Diese E-Mail wurde automatisch versandt, bitte antworten Sie nicht darauf.",Dit is een automatisch gegenereerd bericht. Gelieve niet op deze e-mail te reageren.,No respondas a este correo electrónico creado automáticamente.,"Não responda a este e-mail, uma vez que é gerado automaticamente."
account > account.passwordchangedemail.subject,Votre nouveau mot de passe,Uw wachtwoord is aangepast,Votre nouveau mot de passe,Ihr neues Passwort,Uw wachtwoord is aangepast,Tu nueva contraseña,A sua nova palavra-passe
account > account.passwordreset.button,Envoyer,Versturen,Envoyer,Senden,Versturen,Enviar,Enviar
account > account.passwordreset.message,Indiquez votre adresse e-mail pour recevoir un message permettant de réinitialiser votre mot de passe.,"Vul uw e-mailadres in. We sturen u dan een bericht, zodat u een nieuw wachtwoord kunt instellen.",Indiquez votre adresse e-mail pour recevoir un message permettant de réinitialiser votre mot de passe.,"Geben Sie Ihre E-Mail-Adresse an, um eine Nachricht zu erhalten, wie Sie Ihr Passwort zurücksetzen können.","Vul uw e-mailadres in. We sturen u dan een bericht, zodat u een nieuw wachtwoord kunt instellen.",Indica tu dirección de correo electrónico para recibir un mensaje y recuperar la contraseña.,Introduza o seu endereço de e-mail para receber uma mensagem que lhe permitirá repor a sua palavra-passe.
account > account.passwordreset.notfounderror,"Aucune adresse e-mail correspondante n'a été trouvée._x000D_
Vérifiez l'orthographe et recommencez.",Dit e-mailadres werd niet gevonden. Controleer de spelling en probeer opnieuw.,"Aucune adresse e-mail correspondante n'a été trouvée._x000D_
Vérifiez l'orthographe et recommencez.","Es wurde keine entsprechende E-Mail-Adresse gefunden._x000D_
Überprüfen Sie die Schreibweise und versuchen Sie es erneut.",Dit e-mailadres werd niet gevonden. Controleer de spelling en probeer opnieuw.,"No se ha encontrado ninguna dirección de correo coincidente._x000D_
Comprueba la ortografía y vuelve a empezar.","Não foi encontrado nenhum endereço de e-mail correspondente._x000D_
Verifique a ortografia e tente novamente."
account > account.passwordreset.resubmit,"Pour envoyer une nouvelle demande, cliquez ici","Om een nieuwe vraag te versturen, klik hier","Pour envoyer une nouvelle demande, cliquez ici","Um eine neue Anfrage zu senden, bitte hier klicken ","Om een nieuwe vraag te versturen, klik hier",Haz clic aquí para realizar otro pedido,"Para enviar uma nova encomenda, clique aqui"
account > account.passwordreset.sent,Consultez votre messagerie pour voir si vous avez reçu un e-mail contenant un lien pour réinitialiser votre mot de passe.,Controleer in uw postvak of u een e-mail hebt ontvangen met een link voor het opnieuw instellen van uw wachtwoord.,Consultez votre messagerie pour voir si vous avez reçu un e-mail contenant un lien pour réinitialiser votre mot de passe.,"Überprüfen Sie Ihren Posteingang, um zu sehen, ob Sie eine E-Mail mit einem Link zum Zurücksetzen Ihres Passwortes erhalten haben. ",Controleer in uw postvak of u een e-mail hebt ontvangen met een link voor het opnieuw instellen van uw wachtwoord.,Consulta tu buzón para comprobar si has recibido un correo electrónico con un enlace para recuperar la contraseña.,Consulte a sua caixa de entrada para verificar se recebeu um e-mail com uma ligação para repor a palavra-passe.
account > account.passwordreset.title,Réinitialiser le mot de passe,Wachtwoord opnieuw instellen,Réinitialiser le mot de passe,Passwort zurücksetzen,Wachtwoord opnieuw instellen,Recupera la contraseña,Repor a palavra-passe
account > account.passwordreset.title2,Demande de réinitialisation de votre mot de passe,Verzoek tot resetten wachtwoord,Demande de réinitialisation de votre mot de passe,Anfrage zum Zurücksetzen Ihres Passwortes,Verzoek tot resetten wachtwoord,Solicita la recuperación de tu contraseña,Pedido de reposição da sua palavra-passe
account > account.passwordresetconfirm.homepagelink,Aller à la page d'accueil,Naar de startpagina gaan,Aller à la page d'accueil,Zur Startseite,Naar de startpagina gaan,Ir a la página de inicio,Ir para a página inicial
account > account.passwordresetconfirm.message,Nous vous remercions de nous avoir communiqué votre adresse e-mail. Nous vous avons envoyé un e-mail contenant les informations nécessaires pour réinitialiser votre mot de passe. La réception de cet e-mail peut prendre quelques minutes. Vérifiez dans votre dossier des courriers indésirables si vous n'avez pas déjà reçu cet e-mail.,"Bedankt voor het invoeren van uw e-mailadres. We hebben u een e-mail gestuurd met informatie hoe u uw wachtwoord opnieuw kunt instellen. Het kan een paar minuten duren voordat u deze e-mail ontvangt. Ziet u de e-mail niet verschijnen, controleer dan of deze in uw ongewenste of spam inbox staat.",Nous vous remercions de nous avoir communiqué votre adresse e-mail. Nous vous avons envoyé un e-mail contenant les informations nécessaires pour réinitialiser votre mot de passe. La réception de cet e-mail peut prendre quelques minutes. Vérifiez dans votre dossier des courriers indésirables si vous n'avez pas déjà reçu cet e-mail.,"Wir danken Ihnen für die Angabe Ihrer E-Mail-Adresse. Wir haben Ihnen eine E-Mail mit den erforderlichen Informationen zum Zurücksetzen Ihres Passwortes gesendet. Bis zum Erhalt dieser E-Mail können einige Minuten vergehen. Sehen Sie in Ihrem SPAM-Ordner nach, wenn Sie diese E-Mail noch nicht erhalten haben.","Bedankt voor het invoeren van uw e-mailadres. We hebben u een e-mail gestuurd met informatie hoe u uw wachtwoord opnieuw kunt instellen. Het kan een paar minuten duren voordat u deze e-mail ontvangt. Ziet u de e-mail niet verschijnen, controleer dan of deze in uw ongewenste of spam inbox staat.","Te agradecemos que nos hayas comunicado tu dirección de correo electrónico. Te hemos enviado un correo electrónico con la información necesaria para recuperar la contraseña. La recepción de dicho correo electrónico puede tardar unos minutos. Si todavía no lo has recibido, comprueba tu buzón de correo spam.","Obrigado por nos indicar o seu endereço de e-mail. Enviámos-lhe um e-mail com as informações necessárias para repor a sua palavra-passe. Poderá demorar alguns minutos a receber este e-mail. Caso ainda não tenha recebido este e-mail, verifique a sua pasta de spam."
account > account.passwordresetconfirm.title,Demande de réinitialisation de votre mot de passe reçue,De aanvraag om uw wachtwoord opnieuw in te stellen is ontvangen,Demande de réinitialisation de votre mot de passe reçue,Anfrage zum Zurücksetzen Ihres Passwortes erhalten,De aanvraag om uw wachtwoord opnieuw in te stellen is ontvangen,Solicitud de recuperación de la contraseña recibida,Pedido de reposição da sua palavra-passe recebido
account > account.paymentinstrumentdetails.expires,Date d'expiration :,Vervaldatum:,Date d'expiration :,Ablaufdatum:,Vervaldatum:,Fecha de caducidad:,Prazo de validade:
account > account.paymentinstrumentlist.addcard,Ajouter une carte de crédit,Een creditcard toevoegen,Ajouter une carte de crédit,Eine Kreditkarte hinzufügen,Een creditcard toevoegen,Añadir una tarjeta de crédito,Adicionar um cartão de crédito
account > account.paymentinstrumentlist.addcard.label,Ajouter une carte de crédit à ce compte,Een creditcard toevoegen aan dit account,Ajouter une carte de crédit à ce compte,Diesem Konto eine Kreditkarte hinzufügen,Een creditcard toevoegen aan dit account,Añadir una tarjeta de crédito para esta cuenta,Adicionar um cartão de crédito a esta conta
account > account.paymentinstrumentlist.header,Informations de carte de crédit,Creditcardinformatie,Informations de carte de crédit,Angaben zur Kreditkarte,Creditcardinformatie,Información de la tarjeta de crédito,Informações do cartão de crédito
account > account.setnewpassword.title,Définir un nouveau mot de passe,Vul een nieuw wachtwoord in,Définir un nouveau mot de passe,Ein neues Passwort erstellen,Vul een nieuw wachtwoord in,Definir una nueva contraseña,Definir uma nova palavra-passe
account > account.user.registration.createnew,Créer un compte,Een account aanmaken,Créer un compte,Konto erstellen,Een account aanmaken,Crear una cuenta,Criar uma conta
account > account.user.registration.editaccount,Données personnelles,Persoonlijke gegevens,Dati personali,Persönliche Angaben,Persoonlijke gegevens,Datos personales,Dados pessoais
account > account.user.registration.editname,Modifier nom / email,Mijn gegevens,Modificare nome / e-mail,Name / E-Mail ändern,Naam/e-mail aanpassen,Modificar nombre/correo electrónico,Modificar o nome / e-mail
account > account.user.registration.logininfo,E-mail/informations de connexion,E-mail/inloggegevens,E-mail/informations de connexion,E-Mail / Anmeldedaten,E-mail/inloggegevens,Correo electrónico/información de conexión,E-mail/informações de início de sessão
account > account.user.registration.name,Nom / Email,Naam / e-mail,Nome / e-mail,Name / E-Mail,Naam/e-mail,Nombre/correo electrónico,Nome / E-mail
account > wishlist.addaddress,Ajouter une adresse de livraison,Een bezorgadres toevoegen,Ajouter une adresse de livraison,Eine Lieferadresse hinzufügen,Een leveringsadres toevoegen,Añadir una dirección de entrega,Adicionar um endereço de envio
checkout > approachingpromo.purchase,Achetez,Kopen,Achetez,Kaufen Sie,Kopen,Compra,Compre
checkout > approachingpromo.receive,et recevez,en ontvang,et recevez,und Sie erhalten,en ontvang,y recibe,e receba
checkout > billing.addressheader,Facturation,Facturering,Facturation,Rechnung,Facturering,Facturación,Faturação
checkout > billing.creditcarddeleteconfirm,Voulez-vous supprimer cette carte de crédit ?,Wilt u deze creditcard verwijderen?,Voulez-vous supprimer cette carte de crédit ?,Möchten Sie diese Kreditkarte entfernen?,Wilt u deze creditcard verwijderen?,¿Quieres borrar esta tarjeta de crédito?,Pretende excluir este cartão de crédito?
checkout > billing.creditcarddeleted,La carte de crédit a été supprimée !,De creditcard is verwijderd!,La carte de crédit a été supprimée !,Die Kreditkarte wurde entfernt!,De creditcard is verwijderd!,¡Se ha borrado la tarjeta de crédito!,O cartão de crédito foi excluído!
checkout > billing.creditcarddeletenotselected,Sélectionnez la carte de crédit à supprimer.,Selecteer de creditcard die moet worden verwijderd.,Sélectionnez la carte de crédit à supprimer.,"Wählen Sie die Kreditkarte aus, die entfernt werden soll.",Selecteer de creditcard die moet worden verwijderd.,Selecciona la tarjeta de crédito que quieres borrar.,Selecione o cartão de crédito que pretende excluir.
checkout > billing.creditcardexpires,Expire,Vervalt op,Expire,Läuft ab,Vervalt op,Caduca,Prazo de validade
checkout > billing.creditcardlistexp,Expiration,Vervaldatum,Expiration,Ablaufdatum,Vervaldatum,Caducidad,Prazo de validade
checkout > billing.creditcardlistnocards,Il n'y a actuellement aucune carte enregistrée.,Er is op dit moment geen kaart geregistreerd.,Il n'y a actuellement aucune carte enregistrée.,Zurzeit ist keine Karte registriert.,Er is op dit moment geen kaart geregistreerd.,Actualmente no hay ninguna tarjeta registrada.,Não tem nenhum cartão registado.
checkout > billing.creditcardlistselect,Sélectionner parmi les cartes enregistrées,Selecteer een van de geregistreerde kaarten,Sélectionner parmi les cartes enregistrées,Unter den registrierten Karten auswählen,Selecteer een van de geregistreerde kaarten,Seleccionar una de las tarjetas registradas,Selecionar entre os cartões registados
checkout > billing.creditcardloaderror,Impossible de charger la carte de crédit !,Creditcardbetaling niet mogelijk!,Impossible de charger la carte de crédit !,"Es ist nicht möglich, die Kreditkarte zu belasten!",Creditcardbetaling niet mogelijk!,¡Imposible cargar la tarjeta de crédito!,Não foi possível carregar o cartão de crédito!
checkout > billing.creditcardnotdeleted,La carte de crédit n'a pas pu être supprimée !,De creditcard kon niet worden verwijderd!,La carte de crédit n'a pas pu être supprimée !,Die Kreditkarte konnte nicht entfernt werden!,De creditcard kon niet worden verwijderd!,¡No ha podido borrarse la tarjeta de crédito!,Não foi possível excluir o cartão de crédito!
checkout > billing.deletecard,Supprimer la carte,Kaart verwijderen,Supprimer la carte,Die Karte entfernen,Kaart verwijderen,Borrar la tarjeta,Excluir o cartão
checkout > billing.missingprocessorerror,Le mode de paiement que vous avez sélectionné n'est pas disponible actuellement. Sélectionnez un autre mode de paiement.,"De betaalwijze die u hebt gekozen, is op dit moment niet beschikbaar. Kies een andere betaalwijze.",Le mode de paiement que vous avez sélectionné n'est pas disponible actuellement. Sélectionnez un autre mode de paiement.,Die von Ihnen ausgewählte Zahlungsart ist zurzeit nicht verfügbar.  Bitte wählen Sie eine andere Zahlungsart.,"De betaalwijze die u hebt gekozen, is op dit moment niet beschikbaar. Kies een andere betaalwijze.",El método de pago que has seleccionado no está disponible actualmente. Selecciona otro método de pago.,O método de pagamento que selecionou não se encontra disponível. Selecione outro método de pagamento.
checkout > billing.newcreditcardadded,La nouvelle carte de crédit a été ajoutée.,De nieuwe creditcard is toegevoegd.,La nouvelle carte de crédit a été ajoutée.,Die neue Kreditkarte wurde hinzugefügt.,De nieuwe creditcard is toegevoegd.,Se ha añadido la nueva tarjeta de crédito.,O novo cartão de crédito foi adicionado.
checkout > billing.ownerparseerror,Ceci est un numéro de carte de crédit. Saisissez le nom du titulaire de la carte de crédit.,Dit is een creditcardnummer. Vul de naam van de creditcardhouder in.,Ceci est un numéro de carte de crédit. Saisissez le nom du titulaire de la carte de crédit.,Dies ist eine Kreditkartennummer. Geben Sie den Namen des Karteninhabers an.,Dit is een creditcardnummer. Vul de naam van de creditcardhouder in.,Es un número de tarjeta de crédito. Introduce el nombre del titular de la tarjeta de crédito.,Este é um número de cartão de crédito. Introduza o nome do titular do cartão de crédito.
checkout > billing.paymentheader,Sélectionner un mode de paiement,Selecteer een betaalwijze,Sélectionner un mode de paiement,Eine Zahlungsart auswählen,Selecteer een betaalwijze,Seleccionar otro método de pago,Selecione um método de pagamento
checkout > billing.selectcreditcard,Sélectionner une carte de crédit,Selecteer een creditcard,Sélectionner une carte de crédit,Eine Kreditkarte auswählen,Selecteer een creditcard,Seleccionar otra tarjeta de crédito,Selecionar um cartão de crédito
checkout > billing.zerobalance,"Le solde à payer de votre commande est nul. Par conséquent, aucun mode de paiement n'est nécessaire pour terminer cette commande.",Het te betalen saldo voor uw bestelling is nul. U hoeft daarom geen betaalwijze te kiezen om deze bestelling af te ronden.,"Le solde à payer de votre commande est nul. Par conséquent, aucun mode de paiement n'est nécessaire pour terminer cette commande.","Der zu zahlende Restbetrag aus Ihrer Bestellung beträgt Null. Deshalb ist keine Auswahl der Zahlungsart erforderlich, um diese Bestellung abzuschließen.",Het te betalen saldo voor uw bestelling is nul. U hoeft daarom geen betaalwijze te kiezen om deze bestelling af te ronden.,"El saldo de tu pedido es cero. Por lo tanto, no se requiere ningún método de pago para completar el pedido.","O valor a pagar pela sua encomenda é nulo. Por conseguinte, não é necessário nenhum método de pagamento para finalizar a encomenda."
checkout > cart.COUPON_CODE_MISSING,Vul een actiecode in.,Vul een actiecode in.,Saisissez un code promo.,Geben Sie einen Aktionscode an.,Vul een actiecode in.,Introduce tu código promocional.,Introduza um código promocional.
checkout > cart.COUPON_CODE_UNKNOWN,"De kortingsboncode ""{0}"" is onbekend.","Helaas, de voucher code ""{0}"" is niet geldig en kan niet worden toegevoegd.","Le code de bon de réduction ""{0}"" est inconnu.","Der Code des Ermäßigungsgutscheins ""{0}"" ist unbekannt.","De kortingsboncode ""{0}"" is onbekend.","El código del cupón de reducción ""{0}"" no existe.","O código do cupão de desconto ""{0}"" não é conhecido."
checkout > cart.NO_ACTIVE_PROMOTION,"De kortingsboncode ""{0}"" kan op dit moment niet worden toegepast op uw winkelmand.","Helaas, de voucher code ""{0}"" is niet geldig en kan niet worden toegevoegd.","Le code de bon de réduction ""{0}"" ne peut actuellement pas être ajouté à votre panier.","Der Code des Ermäßigungsgutscheins ""{0}"" kann Ihrem Einkaufskorb zurzeit nicht hinzugefügt werden. ","De kortingsboncode ""{0}"" kan op dit moment niet worden toegepast op uw winkelmand.","El cupón de reducción no puede añadirse actualmente ""{0}"" a tu carro.","O código do cupão de desconto ""{0}"" não pode ser adicionado ao carrinho neste momento."
checkout > cart.bonusnumselected,Vous avez sélectionné {0} article(s).,U hebt {0} artikel(en) geselecteerd.,Vous avez sélectionné {0} article(s).,Sie haben {0} Artikel ausgewählt.,U hebt {0} artikel(en) geselecteerd.,Has seleccionado {0} artículo/s.,Selecionou {0} artigo(s).
checkout > cart.bonusproduct.button.more,plus,meer,plus,plus,meer,más,mais
checkout > cart.cartcouponinvalid,Votre panier contient actuellement un bon de réduction invalide. Supprimez ce bon de réduction avant d'accéder au paiement.,Uw winkelmand bevat een ongeldige kortingsbon. Verwijder deze kortingsbon voordat u doorgaat naar de betaling.,Votre panier contient actuellement un bon de réduction invalide. Supprimez ce bon de réduction avant d'accéder au paiement.,In Ihrem Einkaufskorb befindet sich zurzeit ein ungültiger Ermäßigungsgutschein. Löschen Sie diesen Ermäßigungsgutschein bevor Sie zur Zahlung gehen.,Uw winkelmand bevat een ongeldige kortingsbon. Verwijder deze kortingsbon voordat u doorgaat naar de betaling.,Tu carro contiene actualmente un cupón de reducción no válido. Borra este cupón antes de acceder al pago.,O seu carrinho contém um cupão de desconto inválido. Exclua este cupão de desconto para aceder ao pagamento.
checkout > cart.cartempty,Votre panier est vide,Uw winkelmand is leeg.,Votre panier est vide,Ihr Einkaufskorb ist leer,Uw winkelmand is leeg.,Tu carro está vacío,O seu carrinho está vazio
checkout > cart.carterror,"Votre panier ne peut pas être validé car un ou plusieurs produits_x000D_
	qu'il contient comportent une erreur de prix ou ne sont pas disponibles dans la quantité demandée. Supprimez le ou les produits marqués d'un prix_x000D_
 S/O de votre panier ou adaptez les quantités en fonction des disponibilités. Pour toute question, contactez le service client.",Uw winkelmand kan niet worden bevestigd doordat één of meerdere producten in de mand een onjuiste prijs hebben of niet beschikbaar zijn in de gevraagde hoeveelheid. Verwijder het product/de producten met een onjuiste prijs uit uw mand of pas de hoeveelheid aan op basis van de beschikbaarheid. Bij vragen kunt u contact opnemen met onze klantenservice.,"Votre panier ne peut pas être validé car un ou plusieurs produits_x000D_
	qu'il contient comportent une erreur de prix ou ne sont pas disponibles dans la quantité demandée. Supprimez le ou les produits marqués d'un prix_x000D_
 S/O de votre panier ou adaptez les quantités en fonction des disponibilités. Pour toute question, contactez le service client.","Ihr Einkaufskorb kann nicht freigegeben werden, weil er einen oder mehrere Artikel_x000D_
	enthält, die einen Fehler beim Preis aufweisen oder in der gewünschten Menge nicht verfügbar sind. Löschen Sie den oder die Artikel mit dem Preis_x000D_
 S/O in Ihrem Einkaufskorb oder ändern Sie die Menge entsprechend der Verfügbarkeit. Sollten Sie Fragen haben, kontaktieren Sie bitte den Kundendienst.",Uw winkelmand kan niet worden bevestigd doordat één of meerdere producten in de mand een onjuiste prijs hebben of niet beschikbaar zijn in de gevraagde hoeveelheid. Verwijder het product/de producten met een onjuiste prijs uit uw mand of pas de hoeveelheid aan op basis van de beschikbaarheid. Bij vragen kunt u contact opnemen met onze klantenservice.,"Tu carro no puede confirmarse porque uno o más productos _x000D_
	tienen un precio erróneo o no están disponibles en la cantidad solicitada. Borra el o los productos marcados con un precio_x000D_
 S/O de tu carro o adapta las cantidades en función de la disponibilidad. Si tienes alguna duda, ponte en contacto con el servicio de atención al cliente.","Não é possível validar o seu carrinho porque um ou mais produtos_x000D_
	incluídos no carrinho têm um erro de preço ou não estão disponíveis na quantidade pretendida. Exclua o produto ou produtos assinalados com um preço_x000D_
 indisponível do seu carrinho ou altere as quantidades de acordo com a disponibilidade. Se tiver alguma dúvida, contacte o apoio ao cliente."
checkout > cart.couponcode,Kortingsbonnummer:,Voucher code:,Numéro du bon de réduction :,Nummer des Ermäßigungsgutscheins:,Kortingsbonnummer:,Número del cupón de reducción:,Número do cupão de desconto:
checkout > cart.entercouponcode,actiecode,VUL HIER JE VOUCHER CODE IN,code promo,Aktionscode,actiecode,código promocional,código promocional
checkout > cart.itemtotal,Total des articles,Totaal van de artikelen,Total des articles,Gesamtbetrag der Artikel,Totaal van de artikelen,Total de artículos,Total de artigos
checkout > cart.lastvisited.header,Date de la dernière visite,Datum laatste bezoek,Date de la dernière visite,Datum des letzten Besuchs,Datum laatste bezoek,Fecha de la última visita,Data da última visita
checkout > cart.limitedQuantity,"Votre panier ne peut actuellement pas être converti en commande car un ou plusieurs produits qu'il contient ont un prix non valide ou ne sont pas disponibles dans la quantité demandée. Pour toute question, contactez le service client.",De bestelling van de producten in uw winkelmand kan niet worden uitgevoerd doordat één of meerdere producten in de mand een ongeldige prijs heeft of niet beschikbaar is in de gevraagde hoeveelheid. Bij vragen kunt u contact opnemen met onze klantenservice.,"Votre panier ne peut actuellement pas être converti en commande car un ou plusieurs produits qu'il contient ont un prix non valide ou ne sont pas disponibles dans la quantité demandée. Pour toute question, contactez le service client.","Ihr Einkaufskorb kann zurzeit nicht als Bestellung aufgenommen werden, weil er einen oder mehrere Artikel enthält, die einen ungültigen Preis aufweisen oder in der gewünschten Menge nicht verfügbar sind. Sollten Sie Fragen haben, kontaktieren Sie bitte den Kundendienst.",De bestelling van de producten in uw winkelmand kan niet worden uitgevoerd doordat één of meerdere producten in de mand een ongeldige prijs heeft/hebben of niet beschikbaar is/zijn in de gevraagde hoeveelheid. Bij vragen kunt u contact opnemen met onze klantenservice.,"Tu carro no puede convertirse en pedido porque uno o más productos tienen un precio no válido o no están disponibles en la cantidad solicitada. Si tienes alguna duda, ponte en contacto con el servicio de atención al cliente.","Neste momento não é possível converter o seu carrinho numa encomenda porque um ou mais dos produtos incluídos no carrinho têm um preço inválido ou não estão disponíveis na quantidade pretendida. Se tiver alguma dúvida, contacte o apoio ao cliente."
checkout > cart.option,Option,Optie,Option,Option,Optie,Opción,Opção
checkout > cart.store.deliveryoptions,Options de livraison,Bezorgopties,Options de livraison,Lieferoptionen,Bezorgopties,Opciones de entrega,Opções de envio
checkout > cart.store.homedelivery,Livraison à domicile,Bezorging op huisadres,Livraison à domicile,Lieferung nach Hause,Bezorging op huisadres,Entrega a domicilio,Envio para o domicílio
checkout > cart.store.instorepickup,Livraison en magasin,Aflevering in de winkel,Livraison en magasin,Abholung in einem Geschäft,Aflevering in de winkel,Entrega en tienda,Levantamento na loja
checkout > cart.store.notavailable,Non disponible,Niet beschikbaar,Non disponible,Nicht verfügbar,Niet beschikbaar,No disponible,Indisponível
checkout > cart.store.storepickupaddress,Adresse du magasin,Adres winkel,Adresse du magasin,Adresse des Geschäfts,Adres winkel,Dirección de la tienda,Endereço da loja
checkout > cart.taxinvalid,Une erreur s'est produite lors du calcul des taxes pour un ou plusieurs produits de votre panier.,Er is een fout opgetreden bij de berekening van de belasting voor één of meerdere producten in uw winkelmand.,Une erreur s'est produite lors du calcul des taxes pour un ou plusieurs produits de votre panier.,Bei der Berechnung der Steuern für einen oder mehrere Artikel in Ihrem Einkaufskorb ist ein Fehler aufgetreten. ,Er is een fout opgetreden bij de berekening van de belasting voor één of meerdere producten in uw winkelmand.,Se ha producido un error al calcular los impuestos de uno o más productos de tu carro.,Ocorreu um erro ao calcular as taxas relativas a um ou mais produtos do seu carrinho.
checkout > cart.unableToAdd,Artikel '{0}' kan niet worden toegevoegd aan winkelmand,Artikel '{0}' kan niet worden toegevoegd aan winkelmand,Impossible d'ajouter l'article '{0}' au panier,"Es ist nicht möglich, den Artikel '{0}' zum Einkaufskorb hinzuzufügen",Artikel '{0}' kan niet worden toegevoegd aan winkelmand,No se puede añadir el artículo '{0}' al carro,Não é possível adicionar o artigo '{0}' ao carrinho
checkout > checkoutlogin.checkoutguestbutton,Continuer,doorgaan,Continuer,Fortfahren,Doorgaan,Continuar,Continuar
checkout > checkoutlogin.guestheader,Nouveaux clients,Nieuwe klanten,Nouveaux clients,Neue Kunden,Nieuwe klanten,Clientes nuevos,Novos clientes
checkout > checkoutlogin.guestmessage,"Vous pouvez passer votre commande sans inscription. Si vous le souhaitez, vous pourrez créer votre compte plus tard.",U kunt uw bestelling plaatsen zonder u eerst in te schrijven. Indien gewenst kunt u later nog een account aanmaken.,"Vous pouvez passer votre commande sans inscription. Si vous le souhaitez, vous pourrez créer votre compte plus tard.","Sie können bestellen, ohne sich zu registrieren. Wenn Sie möchten, können Sie Ihr Konto später erstellen.",U kunt uw bestelling plaatsen zonder u eerst in te schrijven. Indien gewenst kunt u later nog een account aanmaken.,"Puedes hacer un pedido sin registrarte. Si lo deseas, puedes crear una cuenta más tarde.","Pode efetuar a sua encomenda sem se inscrever. Se desejar, pode criar a sua conta mais tarde."
checkout > checkoutlogin.guesttitle,Commander en tant qu’invité,Bestellen als gast,Commander en tant qu’invité,Als Gast bestellen,Bestellen als gast,Hacer un pedido como invitado,Efetuar encomenda como convidado
checkout > checkoutlogin.registerbenefits,Pourquoi créer son compte ?,Waarom een account aanmaken?,Pourquoi créer son compte ?,Warum ein Konto erstellen?,Waarom een account aanmaken?,¿Por qué crear una cuenta?,Porquê criar uma conta?
checkout > checkoutprogressindicator.billing,Facturation,facturatie,Facturation,Rechnung,Facturatie,Facturación,Faturação
checkout > checkoutprogressindicator.placeorder,Commande,Bestelling,Commande,Bestellung,Bestelling,Pedido,Encomenda
checkout > checkoutprogressindicator.shipping,Livraison,Bezorging,Livraison,Lieferung,Bezorging,Entrega,Envio
checkout > checkoutprogressindicator.shippingmethods,Modes de livraison,Bezorgingsmethoden,Modes de livraison,Lieferarten,Bezorgingsmethoden,Métodos de entrega,Endereço de envio
checkout > checkoutprogressindicator.step1,Étape 1 :,Stap 1:,Étape 1 :,Schritt 1:,Stap 1:,Paso 1:,Etapa 1:
checkout > checkoutprogressindicator.step2,Étape 2 :,Stap 2:,Étape 2 :,Schritt 2:,Stap 2:,Paso 2:,Etapa 2:
checkout > checkoutprogressindicator.step3,Étape 3 :,Stap 3:,Étape 3 :,Schritt 3:,Stap 3:,Paso 3:,Etapa 3:
checkout > checkoutprogressindicator.step4,Étape 4 :,Stap 4:,Étape 4 :,Schritt 4:,Stap 4:,Paso 4:,Etapa 4:
checkout > confirm.error.declined,Votre commande n'a pas pu être validée. Vérifiez vos modes de paiement et recommencez. Nous vous remercions de votre patience.,Uw bestelling kon niet worden bevestigd. Controleer uw betaalwijze en probeer het opnieuw.,Votre commande n'a pas pu être validée. Vérifiez vos modes de paiement et recommencez. Nous vous remercions de votre patience.,Ihre Bestellung konnte nicht bestätigt werden. Überprüfen Sie Ihre Zahlungsarten und versuchen Sie es erneut. Wir danken für Ihre Geduld.,Uw bestelling kon niet worden bevestigd. Controleer uw betaalwijze en probeer het opnieuw. Wij bedanken u voor uw geduld.,No se ha podido validad tu pedido. Comprueba tus métodos de pago y vuelve a empezar. Gracias por tu comprensión.,Não foi possível validar a sua encomenda. Verifique os seus métodos de pagamento e tente novamente. Agradecemos a sua compreensão.
checkout > confirm.error.technical,Nous sommes désolés mais votre commande n’a pas pu être validée (le paiement a échoué). Merci de confirmer à nouveau votre commande et de ressaisir les données de paiement.,"Helaas, er is iets misgegaan met de betaling. We hebben de betaling niet kunnen verwerken. Bevestig opnieuw je bestelling en vul nogmaals je gegevens in.",Nous sommes désolés mais votre commande n’a pas pu être validée (le paiement a échoué). Merci de confirmer à nouveau votre commande et de ressaisir les données de paiement.,Leider konnte Ihre Bestellung nicht abgeschlossen werden (Zahlung ist nicht erfolgt). Bitte bestätigen Sie Ihre Bestellung noch einmal und geben Sie die Zahlungsdaten erneut ein.,"Helaas, er is iets misgegaan met de betaling. We hebben de betaling niet kunnen verwerken. Bevestig opnieuw uw bestelling en vul nogmaals uw gegevens in.","Lo sentimos, pero no se ha podido validar tu pedido (el pago ha fallado). Confirma tu pedido de nuevo y vuelve a introducir los datos de pago.","Lamentamos, mas não foi possível validar a sua encomenda (ocorreu uma falha no pagamento). Agradecemos que confirme a sua encomenda e reintroduza os dados de pagamento."
